file_path,depth,qops,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,swap_count,final_depth,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/medium/qf21_n15__52CYC.json,52,359,107,308,87,298,79,294,47,278
benchmarks/polyhedral/medium/multiply_n13__7CYC.json,7,116,51,93,36,74,30,80,16,55
benchmarks/polyhedral/medium/ghz_state_n23__24CYC.json,24,25,36,54,33,46,18,42,11,33
benchmarks/polyhedral/medium/ising_n26__16CYC.json,16,177,35,29,38,28,26,22,16,20
benchmarks/polyhedral/medium/seca_n11__37CYC.json,37,282,44,174,51,114,31,122,25,106
benchmarks/polyhedral/medium/cat_state_n22__23CYC.json,23,24,36,53,35,47,18,39,13,37
benchmarks/polyhedral/medium/bv_n19__22CYC.json,22,129,35,83,38,81,29,70,13,47
benchmarks/polyhedral/medium/multiplier_n15__49CYC.json,49,560,144,357,136,360,113,335,92,319
benchmarks/polyhedral/medium/square_root_n18__203CYC.json,203,2774,857,2309,575,2211,498,2085,458,1891
benchmarks/polyhedral/medium/knn_n25__15CYC.json,15,342,118,207,62,192,64,166,32,162
benchmarks/polyhedral/medium/wstate_n27__55CYC.json,55,209,78,163,45,129,33,126,7,112
benchmarks/polyhedral/medium/bv_n14__17CYC.json,17,94,43,70,32,63,23,52,7,31
benchmarks/polyhedral/medium/sat_n11__51CYC.json,51,731,178,573,170,584,126,542,105,532
benchmarks/polyhedral/medium/swap_test_n25__15CYC.json,15,366,118,208,62,193,64,167,32,163
benchmarks/polyhedral/medium/dnn_n16__173CYC.json,173,2832,56,697,55,265,36,534,9,369
benchmarks/polyhedral/medium/qft_n18__134CYC.json,134,819,194,333,166,256,162,352,126,308
benchmarks/polyhedral/medium/qec9xz_n17__16CYC.json,16,95,79,66,55,56,42,69,17,45
benchmarks/polyhedral/medium/bigadder_n18__37CYC.json,37,330,116,275,88,265,59,209,44,227
benchmarks/polyhedral/medium/qram_n20__24CYC.json,24,346,154,266,114,285,80,231,62,236
